Rubric Metadata												Criteria (e.g. Metric) Metadata																									
Rubric:  Title	Rubric:  Authors	Rubric:  Coresponding Author	Rubric:  Version	Rubric:  Website or Repository URL	Rubric:  License	Rubric:  License Type	Certification Method:  Present	Scoring Method:  Present	Scoring Output	Implementation Evidence	Community Focus	Criteria:  Title	Criteria:  Code (Assigned by Rubric)	Criteria:  Unique Identifier (e.g. DOI)	Measurement Method	Research Resource:  Type	No Direct Mapping	F aligned:  No requirement mapping	Requirement:  F1	Requirement:  F2	Requirement:  F3	Requirement:  F4	A aligned:  No requirement mapping	Requirement:  A1	Requirement:  A1.1	Requirement:  A1.2	Requirement:  A2	I aligned:  No requirement mapping	Requirement: I1	Requirement: I2	Requirement:  I3	R aligned:  No requirement mapping	Requirement: R1	Requirement: R1.1	Requirement: R1.2	Requirement: R1.3	There is a comment
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.12	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Use FAIR Vocabularies	FM-I2	https://purl.org/fair-metrics/FM_I2	Combination	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.13	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Use Qualifed References	FM-I3	https://purl.org/fair-metrics/FM_I3	Combination	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.14	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Accessible Usage License	FM-R1.1	https://purl.org/fair-metrics/FM_R1.1	Present or Absent	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.15	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Detailed Provenance	FM-R1.2	https://purl.org/fair-metrics/FM_R1.2	Combination	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.16	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Meets Community Standards	FM-R1.3	https://purl.org/fair-metrics/FM_R1.3	Present or Absent	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
(Re)usable Data Project	Seth Carbon, Robin Champieux, Julie McMurry, Lilly Winfree, Letisha Wyatt, Melissa Haendel	Seth Carbon	unknown	http://reusabledata.org/	CC-BY-4.0	Permissive		1	Numerical	1	Biomedical	Does the resource have a single license?	A.1		Present or Absent	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(Re)usable Data Project	Seth Carbon, Robin Champieux, Julie McMurry, Lilly Winfree, Letisha Wyatt, Melissa Haendel	Seth Carbon	unknown	http://reusabledata.org/	CC-BY-4.0	Permissive		1	Numerical	1	Biomedical	Does the resource use a standard license?	A.2		Present or Absent	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(Re)usable Data Project	Seth Carbon, Robin Champieux, Julie McMurry, Lilly Winfree, Letisha Wyatt, Melissa Haendel	Seth Carbon	unknown	http://reusabledata.org/	CC-BY-4.0	Permissive		1	Numerical	1	Biomedical	Does the license clearly define the terms of continuing reuse free of any language that would require human or legal action or negotiation?	B.1		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(Re)usable Data Project	Seth Carbon, Robin Champieux, Julie McMurry, Lilly Winfree, Letisha Wyatt, Melissa Haendel	Seth Carbon	unknown	http://reusabledata.org/	CC-BY-4.0	Permissive		1	Numerical	1	Biomedical	Is the scoping of the license complete? 	B.2		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(Re)usable Data Project	Seth Carbon, Robin Champieux, Julie McMurry, Lilly Winfree, Letisha Wyatt, Melissa Haendel	Seth Carbon	unknown	http://reusabledata.org/	CC-BY-4.0	Permissive		1	Numerical	1	Biomedical	Does the resource provide a "reasonable good-faith location" to access all data groupings with a single "action"?	C.1		Present or Absent	Data Repository	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
(Re)usable Data Project	Seth Carbon, Robin Champieux, Julie McMurry, Lilly Winfree, Letisha Wyatt, Melissa Haendel	Seth Carbon	unknown	http://reusabledata.org/	CC-BY-4.0	Permissive		1	Numerical	1	Biomedical	Does the resource provide a "reasonable and transparent" method of obtaining data?	C.2		Present or Absent	Data Repository	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
(Re)usable Data Project	Seth Carbon, Robin Champieux, Julie McMurry, Lilly Winfree, Letisha Wyatt, Melissa Haendel	Seth Carbon	unknown	http://reusabledata.org/	CC-BY-4.0	Permissive		1	Numerical	1	Biomedical	Are different types of downstream reuse distinguished as allowable or as forbidden?	D.1		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
(Re)usable Data Project	Seth Carbon, Robin Champieux, Julie McMurry, Lilly Winfree, Letisha Wyatt, Melissa Haendel	Seth Carbon	unknown	http://reusabledata.org/	CC-BY-4.0	Permissive		1	Numerical	1	Biomedical	Are different types of person groups or "agents" distinguished?	E.1		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository has an explicit mission to provide access to and preserve data in its domain	R1		Qualitative Review	Data Repository	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository maintains all applicable licenses covering data access and use and monitors compliance.	R2		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository has a continuity plan to ensure ongoing access to and preservation of its holdings.	R3		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository ensures, to the extent possible, that data are created, curated, accessed, and used in compliance with disciplinary and ethical norms.	R4		Qualitative Review	Data Repository	0	0	0	0	0	0	0													1	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository has adequate funding and sufficient numbers of qualified staff managed through a clear system of governance to effectively carry out the mission.	R5		Qualitative Review	Data Repository							1				0										0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository adopts mechanism(s) to secure ongoing expert guidance and feedback (either inhouse, or external, including scientific guidance, if relevant).	R6		Qualitative Review	Data Repository	1																0				0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository guarantees the integrity and authenticity of the data.	R7		Qualitative Review	Data Repository	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository accepts data and metadata based on defined criteria to ensure relevance and understandability for data users.	R8		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository applies documented processes and procedures in managing archival storage of the data.	R9		Qualitative Review	Data Repository							1														0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository assumes responsibility for long-term preservation and manages this function in a planned and documented way.	R10		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository has appropriate expertise to address technical data and metadata quality and ensures that sufficient information is available for end users to make quality-related evaluations.	R11		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	Archiving takes place according to defined workflows from ingest to dissemination.	R12		Qualitative Review	Data Repository	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository enables users to discover the data and refer to them in a persistent way through proper citation.	R13		Qualitative Review	Data Repository	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository enables reuse of the data over time, ensuring that appropriate metadata are available to support the understanding and use of the data.	R14		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Core Trust Seal	Core Trust Seal	Unknown	v01.00	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The repository functions on well-supported operating systems and other core infrastructural software and is using hardware and software technologies appropriate to the services it provides to its Designated Community.	R15		Qualitative Review	Data Repository	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Core Trust Seal	Core Trust Seal	Unknown	v01.01	https://www.coretrustseal.org/wp-content/uploads/2017/01/Core_Trustworthy_Data_Repositories_Requirements_01_00.pdf	CC-BY-4.0	Permissive	1	1	Numerical	1	All	The technical infrastructure of the repository provides for protection of the facility and its data, products, services, and users.	R16		Qualitative Review	Data Repository	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Does the dataset have a PID (persistent identifier)?	F1a		Present or Absent	Data Set	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is there sufficient metadata available?	F1b		Qualitative Review	Data Set	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is there extensive metadata and rich additional documentation available?	F5a		Qualitative Review	Data Set	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Does the dataset have a user license?	A1a		Present or Absent	Data Set	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Are the metadata accessible	A1b		Present or Absent	Data Set	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Does the user license have any user restrictions for accessing the data?	A2b		Qualitative Review	Data Set	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is the dataset available for public access? (i.e. the restriction is only registration on a website before the person has access the data)	A4a		Qualitative Review	Data Set	0						1														
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is the dataset completely open access with no restrictions?	A5a		Qualitative Review	Data Set	0						1														
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is the data file in a proprietary format?	I1a		Present or Absent	Data Set													1								
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is the dataset multi-file?			Present or Absent	Data Set	1																				
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Are all of the data files in a proprietary format?	I1a		Present or Absent	Data Set													1								
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Please indicate which of these statements is the most applicable to the dataset:  most, half, few, or none	I2a		Present or Absent	Data Set													1								
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is the format therefore consistent with a 'preferred' archival format?	I3a		Present or Absent	Data Set													1								
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is a standardised vocabulary, coding scheme or markup/tagging schema used in order to harmonise the information in the dataset?	I4b		Present or Absent	Data Set													1							1	
FAIRdat	Peter Doorn, Elly Dijk and Marjan Grootveld, Data Archiving and Networked Services/DANS	Unknown	unknown	https://docs.google.com/document/d/1bRQDN_VFSPSMnsADLyzky-sbd6ZPArsHOcYhERdyrL8/edit	Unknown	Unknown	0	1	Numerical	0	All	Is the data represented as linked data (e.g. in RDF format), so that it can be linked to other data?	I5a		Present or Absent	Data Set															1						
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta) data are assigned globally unique and persistent identifiers	F1		Present or Absent	All Resources	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	Data are described with rich metadata	F2		Qualitative Review	All Resources	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	Metadata clearly and explicitly include the identifier of the data it describes	F3		Present or Absent	All Resources	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta)data are registered or indexed in a searchable resource	F4		Present or Absent	All Resources	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta)data are retrievable by their identifier using a standardised communication protocol	A1		Present or Absent	All Resources	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	The protocol is open, free and universally implementable	A1.1		Present or Absent	All Resources	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	The protocol allows for an authentication and authorisation when required	A1.2		Qualitative Review	All Resources	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
